"ecoregion","interval","n","cor"
"EASTERN TEMPERATE FORESTS",1,18604,0.217824531757084
"EASTERN TEMPERATE FORESTS",2,10967,0.092655673056625
"EASTERN TEMPERATE FORESTS",3,4600,0.0490691665716148
"EASTERN TEMPERATE FORESTS",4,528,0.135437524898413
"NORTHWESTERN FORESTED MOUNTAINS",1,4725,0.28455930912629
"NORTHWESTERN FORESTED MOUNTAINS",2,166,0.535844454907046
"NORTHWESTERN FORESTED MOUNTAINS",3,68,0.577824332363769
"NORTHWESTERN FORESTED MOUNTAINS",4,0,NA
"MEDITERRANEAN CALIFORNIA",1,29,-0.0466696415365893
"MEDITERRANEAN CALIFORNIA",2,0,NA
"MEDITERRANEAN CALIFORNIA",3,0,NA
"MEDITERRANEAN CALIFORNIA",4,0,NA
"NORTH AMERICAN DESERTS",1,208,0.370877152369047
"NORTH AMERICAN DESERTS",2,0,NA
"NORTH AMERICAN DESERTS",3,0,NA
"NORTH AMERICAN DESERTS",4,0,NA
"MARINE WEST COAST FOREST",1,4,-0.798926513906631
"MARINE WEST COAST FOREST",2,0,NA
"MARINE WEST COAST FOREST",3,0,NA
"MARINE WEST COAST FOREST",4,0,NA
"GREAT PLAINS",1,679,-0.0103666545068394
"GREAT PLAINS",2,279,0.023424734934007
"GREAT PLAINS",3,119,0.0216714638056666
"GREAT PLAINS",4,0,NA
"NORTHERN FORESTS",1,14070,0.415922645894638
"NORTHERN FORESTS",2,8181,0.200661238804581
"NORTHERN FORESTS",3,3696,0.309063991089025
"NORTHERN FORESTS",4,256,0.0995480855806875
"TEMPERATE SIERRAS",1,725,0.305077627406242
"TEMPERATE SIERRAS",2,0,NA
"TEMPERATE SIERRAS",3,0,NA
"TEMPERATE SIERRAS",4,0,NA
"SOUTHERN SEMIARID HIGHLANDS",1,7,0.540222891389789
"SOUTHERN SEMIARID HIGHLANDS",2,0,NA
"SOUTHERN SEMIARID HIGHLANDS",3,0,NA
"SOUTHERN SEMIARID HIGHLANDS",4,0,NA
NA,1,0,NA
NA,2,0,NA
NA,3,0,NA
NA,4,0,NA
